session_title,year,number_of_authors,number_of_papers
Monetary Policy,2013,12,5
Monetary Policy,2014,9,5
Monetary Policy,2015,12,5
Monetary Policy,2018,10,4
Monetary Policy and Asset Price Bubbles: New Developments,2018,9,4
Monetary Policy and Credit Markets,2018,12,4
Monetary Policy and Financial Intermediation,2018,11,4
Monetary Policy and Financial Markets,2015,9,4
Monetary Policy and Interest Rates,2011,9,3
Monetary Policy and the Great Recession,2015,6,4
Monetary Policy and the Term Structure of Forecasts,2011,10,4
Monetary Policy Decision-Making by Committees: Managing Risks versus Managing Uncertainty,2012,8,4
Monetary Policy Frameworks and the Zero Lower Bound,2019,6,3
Monetary Policy Implications,2018,11,4
Monetary Policy in Financial Crises,2011,13,4
"Monetary Policy, Asset Price Spillovers and the Macroeconomy",2018,11,4
"Monetary Policy, Asset Prices and Welfare",2018,10,4
"Monetary Policy, Financial Conditions and the Economy",2018,9,3
"Monetary Policy, Term Premia, and Macro Volatility",2019,9,4
Monetary-Fiscal Games,2012,13,5
Money and Banking: Local and Global,2016,7,4
Money and Capital,2011,5,4
Money and Capital in Theory and Practice,2018,8,5
"Money and Exchange Rates in Emerging Asia (F3, E5)",2016,10,4
"Money and Monetary Policy with Financial Frictions (E4, E5)",2016,7,3
Money in an Era of Financial Crisis and Recovery,2014,10,4
Money Management by Households and Firms in Kenya,2013,9,3
"Money, Banking and Bailouts",2012,10,5
"Money, Banking, and Prices",2013,4,3
"Money, Credit, and Corporate Finance in Emerging Economies",2019,15,4
"Money, Income and Exchange Rates in Transition Economies (E5, F3)",2016,11,4
"Money’s Too Tight to Mention: Determinants and Effects of Firms’ Financing Constraints (G2, F3)",2016,10,4
Monitoring by Shareholders and Directors,2019,14,4
Moral Attitudes and Financial Decision-Making,2014,11,4
"Moral Values and Economic Behavior (A1, Z1)",2015,13,4
Morality and Economics,2018,6,4
"Mortality in Historical Perspective (N3, I1)",2016,6,4
Mortgage and Lease Contract Design,2011,9,4
Mortgage Crisis,2019,10,4
Mortgage Default,2019,8,4
Mortgage Default and Performance,2011,9,4
Mortgage Default Risk,2013,11,4
Mortgage Market Crisis Post-Mortem,2013,6,4
Mortgage Markets and Policy Response,2012,12,4
"Mortgage Markets and the Macroeconomy (G2, E3)",2016,10,4
"Mortgage Originations (G2, D1)",2015,14,4
Mortgage Underwriting & Selection,2011,8,4
Mortgage Underwriting and Securitization,2011,8,3
"Mortgage, Pricing, Access to Credit, and Outcomes",2011,9,4
Mortgages,2019,8,3
Mortgages 1,2014,12,4
Mortgages 2,2014,10,4
Mortgages 3,2014,10,4
Mortgages and Monetary Policy Transmission,2019,9,3
Mortgages and Real Estate,2015,11,4
Mortgages I,2018,8,4
Mortgages II,2018,11,4
Mortgages III,2018,12,4
Motherhood and the Labor Market,2016,9,4
Motivated Agents and Incentives,2013,8,4
"Motivations and Ethics in Global Markets (B4, O1)",2015,7,5
Motivations and Value Creation in Mergers,2014,11,4
Motor Vehicle Fuel,2011,8,5
Moving Beyond Deregulation,2011,5,4
Multi-Country Empirical Banking Studies,2014,8,3
Multi-dimensional Spatio-temporal and Network Modelling,2019,10,5
Multi-Product Firms and Product Quality in International Trade,2012,5,3
Multi-Product Search,2016,10,4
"Multiple Equilibria in Models of Sovereign Debt (F3, G1)",2016,10,4
Music Festival,2014,6,2
Music Session,2011,16,3
Music Session,2012,8,2
Music Session,2013,10,3
Mutual Fund Flows,2019,7,3
Mutual Fund Incentives,2012,6,3
Mutual Fund Performance,2013,10,4
Mutual Fund Performance 1,2012,10,4
Mutual Fund Performance 2,2012,7,3
Mutual Funds and Beyond,2019,9,4
Mutual Funds and Delegated Management,2016,11,4
Mutual Funds and Hedge Funds Managers' Behavior,2011,8,4
Mutual Funds and Hedge Funds: Information and Behavior,2011,11,4
Mutual Funds and Investment Choice,2014,11,4
Mutual Funds and Management Skill,2015,6,3
"Myopia, Inattention, and Bounded Rationality",2019,7,4
NAFTA Revisited-Moving Forward,2019,5,4
National and International Dimensions of Subjective Well-Being,2019,11,4
"Natural Resource Use: Benefits, Costs and Policy Response",2015,7,4
"Natural Resources and Environmental Issues in MENA Countries (Q2, Q5)",2016,14,5
"Natural Resources: Economic Impacts and Valuation (Q5, Q2)",2015,10,4
Nature of Labor Income Dynamics,2014,13,4
Nature of Labor Income Risk,2013,10,4
Neighborhood Development,2014,5,4
Neighborhood Effects,2011,13,4
Neighborhood Effects and Household Behavior,2012,7,4
Neighborhood Effects and Place-Based Policies,2013,10,3
"Neighborhoods, Amenities, and Education",2014,10,4
Neoliberalism and Protective Responses: Populist and Nationalist Insurgencies,2019,6,5
Network Effects,2016,11,5
Network Games,2012,10,5
Network Models: Identification and Estimation,2012,7,3
Network Models: Theory and Estimation,2012,6,4
Network Neutrality and Public Policy,2011,3,3
Networks,2019,10,4
Networks and Local Knowledge,2016,10,4
Networks in Macroeconomics and Finance,2014,7,4
"Networks, Integration and Contagion (G1, G2)",2015,9,4
"Networks, International Finance",2014,6,3
"Networks, Markets, and Economic Performance",2019,5,3
"Networks, Mechanisms, and Big Data: Economics Meets Information Science",2013,2,2
"Networks: Learning, Cooperation and Community Norms",2019,6,3
Neuroeconomics,2019,5,4
Neuroeconomics of Stochastic Choice,2014,6,3
New Advances in Matching with Contracts,2019,12,4
New Advances in the Econometrics of Foreclosure,2011,8,4
New Analytical Methods Applied to Fundamental Economic Questions,2012,12,5
New Approaches for Modeling Risk in Macroeconomics,2011,11,5
New Approaches in Measuring Uncertainty,2018,16,4
New Approaches to Finance,2014,5,3
New Approaches to Finance,2015,5,4
New Approaches to Improving Diversity in Economics,2016,4,4
New Approaches to Measuring Household-Level Finances,2011,8,3
New Approaches to Modeling Strategic Interactions,2018,8,4
New Business-Cycle Models,2012,8,4
New Challenges for Growth in Historical Perspective,2013,9,4
New Challenges for Market Design,2012,9,4
New Challenges for Measurement and Analysis in Government Economics,2012,9,5
New Challenges in Sovereign Debt Restructuring,2014,8,4
New Data and New Facts for the Global Economy,2019,10,3
New Data Sources from the Internet in Microeconomic Research,2015,8,4
New Developments in Econometrics,2012,10,4
New Developments in Empirical Modeling of Games,2013,9,4
"New Developments in Firm Dynamics in Understanding Business Dynamism (J2, E3)",2016,12,4
New Developments in Monetary Economics,2011,2,2
New Developments in Sraffian Theory,2016,5,5
New Developments in Sraffian Theory,2018,4,4
"New Developments in the Estimation of Classical Consumer Demand (C5, D1)",2015,9,4
New Developments in the Organization of Firms,2012,12,4
New Developments in Work-Family Policy,2011,5,4
New Directions and Opportunities for Research on Consumption with the PSID,2014,9,4
New Directions in Economic Measurement to Better Serve Policy Analysis,2011,7,5
New Directions in Measuring Gender Equality,2013,11,4
New Directions in Trade and Geography,2012,6,3
New Directions in Trade Policy,2012,5,3
New Directions in Urban Land Use Models and Land Use Impacts,2012,8,3
"New Empirical Findings in Platform Economics (L1, M1)",2016,12,4
New Empirics of Public Policy and Fertility in the U.S.,2011,7,4
New Evidence from Online Job Search (J64),2013,11,4
New Evidence on Fixed Income Liquidity,2014,11,4
New Evidence on Geographic Variations in Health Care,2015,10,3
"New Evidence on Lifecycle Models of Retirement Saving (D1, D9)",2016,15,4
"New Evidence on the Effects of Teachers' Unions on Student Outcomes, Teacher Labor Markets, and the Allocation of School Resources",2018,7,4
New Evidence on the Prevalence and Implications of Contract Work,2018,9,3
New Findings in the Economics of Crime and Policing,2018,3,3
New Frontiers in Economics of the Household,2018,11,5
New Frontiers in Employment Dispute Resolution: The Inner Workings of Workplace Voice,2011,9,4
"New Insights from Government Statistics (B4, C8)",2015,7,3
New Insights on Classic Questions in Matching Theory,2018,7,4
New Labor Process Research in the SSA Tradition,2014,5,4
New Measures of Human Capital and Their Application,2018,16,4
New Measures of the Economy,2018,13,4
New Methods for Measuring Poverty and Welfare,2018,10,4
New Methods for the Cross Section of Expected Returns,2019,11,4
"New Methods to Analyze Income Distributions in Household Surveys with Measurement Error (C8, D3)",2015,10,4
"New Models and Evidence on Bubbles (G1, E1)",2016,12,4
New Models of Search and Labor Market Institutions,2019,8,4
New Perspective on Gains from Trade,2013,13,4
New Perspectives on Corporate Governance,2014,5,3
New Perspectives on Jobless Recoveries,2014,8,4
New Perspectives on Malthus: What Was He Really Saying about Population Growth and Human Societies?,2014,3,3
New Perspectives on Optimal Income Taxation,2013,8,4
New Perspectives on Risk,2019,11,4
New Perspectives on the Great Depression,2012,3,3
New Perspectives on the Returns to College,2014,8,4
New Perspectives on Time Use,2018,9,4
New Research in Applied Social Economics,2018,6,5
New Research on Participation and Employee Ownership: International Evidence,2019,10,4
"New Theory and Evidence on the Dynamics of Multinational Corporations (F1, F6)",2016,11,4
New Thinking in Economics: The Policy Dimension,2011,8,5
New Thinking in Economics: The Theoretical Premise,2011,8,5
New Thinking In Feminist Economics,2012,7,4
"New Thinking in Optimal Taxation and Redistribution (H2, D6)",2016,7,4
"New Wine in Old Bottles: Capitalism, Monetary Policy, Panics and War",2016,5,4
News,2012,7,5
"News, Information and the Business Cycle",2018,7,4
"News, Strategic Advertising and Corporate Finance",2019,7,3
Non-Bank Lending Behavior,2019,13,4
"Non-Financial, Extrinsic Motivation and Employee Job Performance (D2, J2)",2015,9,4
"Non-Performing Loans: Causes, Effects and Remedies",2018,13,4
Noncognitive Factors in Gender Labor Markets Outcomes,2011,7,4
Noncompete Agreements,2018,8,4
Nonparametric and Machine Learning Approaches to Demand Estimation for Differentiated Products,2019,10,4
Nonparametric Econometrics and Testing,2016,7,5
Nonstandard Inference Methods,2019,10,4
Nonstationary Time Series,2013,6,4
"Nordic Financial Crises: Lessons from Finland, Iceland, Norway and Sweden",2011,4,4
Norms and Ethical Behavior,2011,13,4
"Not Markets Alone: Caregiving, Well Being, and Public Goods",2012,8,4
"Notable Labor Market Transitions for Forensic Economists (J2, K1)",2016,8,3
Novel Approaches for Estimating the Value of a Statistical Life,2013,10,4
Observational and Quasi-Experimental Methods for Estimating School and Teacher Quality,2015,8,4
Occupational Choice and Mobility,2015,10,5
"Occupational Demands among Older Workers (J2, J1)",2016,8,3
Occupational Licensing: A Case Study of Barriers to Entry in the Labor Market and Beyond,2018,12,4
Occupations and Job Polarization,2019,8,4
Occupations and Mobility over Time and Distance,2015,6,4
Occupations of the Past and Future,2016,12,5
Offshoring and Technology Transfer,2013,10,4
Offshoring Theories and Evidence,2012,8,4
Old and Modern Wars: New Considerations,2018,10,4
Omicron Delta Epsilon Chapter Advisor's Session,2019,5,4
Omicron Delta Epsilon Faculty Advisor Session,2015,7,4
Omicron Delta Epsilon Graduate Student Session,2014,4,3
Omicron Delta Epsilon Graduate Student Session,2015,4,4
Omicron Delta Epsilon Graduate Student Session,2018,7,4
Omicron Delta Epsilon Graduate Student Session,2019,5,4
"Omicron Delta Epsilon Graduate Student Session (A1, E1)",2016,3,3
Omicron Delta Epsilon John R. Commons Award Lecture,2018,1,1
"Omicron Delta Epsilon John R. Commons Award Lecture (E1, B2)",2016,1,1
On the Decline of Manufacturing Productivity Growth and Employment,2018,8,3
On the Historical Origins of Comparative Development,2013,10,4
On the Political Economy of Immigration in Europe and in the United States: The Importance of Skill,2015,4,4
Once Bitten Twice Shy? International Banking after the Crisis,2013,10,4
Online Commerce,2016,10,5
Online Field Experiments,2013,11,4
Online versus Face to Face Teaching,2016,9,4
Opening Plenary Session and Reception,2014,1,1
Opening the Black Box of Household Production and Exchange,2013,8,4
Opportunities and Pitfalls of Big Data,2014,3,3
"Optimal Bank Capital (G2, G3)",2015,10,4
Optimal Fiscal Policy,2011,9,4
Optimal Persuasion,2015,9,4
Optimal Policies in a Behavioral World,2018,11,5
Optimal Taxation and Insurance,2011,10,4
Optimal Taxation and Social Insurance,2013,6,3
Options,2013,10,4
"Organization, Management and Economic Growth (J1, L1)",2015,12,4
Organizing Low-Wage Workers,2014,5,5
Origin and Evolution of Preferences,2019,21,4
Original Themes in Economic Theory,2011,6,4
"Out of the Crisis: With Institutionalist and Veblenian, Evolutionary Thinking",2013,8,5
Over-the-Counter Markets,2018,10,4
Overcoming Causes of Income Inequality and Fostering Economic and Social Stability,2014,5,4
Ownership/Governance of Firms and Employee Outcomes - LERA Competitive Papers,2013,7,4
Panel and Network Data,2018,6,4
Panel Data,2015,6,4
Panel Discussion: Using Blogs to Teach Undergraduate Economics,2012,5,5
Partial Identification: Inference and Applications,2012,8,4
"Patent Economics (K2, O3)",2015,7,3
"Patents, Innovation and Growth",2014,13,4
"Pathways to Adulthood: Education, Healthcare, and Wealth Accumulation",2013,6,4
Pay for Performance in Health Care: International Evidence,2018,13,4
Payout,2019,6,3
Payout Policy,2014,9,4
Payout Policy,2018,7,3
Peace Science and Regional Science Economics (In Memory of Walter Isard),2011,13,4
"Peasants, Serfs, and Capitalists",2018,9,4
Peer Effects,2019,9,5
Peer Effects and School Quality,2011,9,4
Pension Inertia: Active Versus Passive Participants,2015,10,4
People Helping People: Time as a Unique Input into Well Being,2019,10,3
Performance of Financial Systems,2011,2,2
"Persistence and Culture in Political Economy (Z1, D7)",2016,9,4
Persistently High Unemployment,2013,6,3
Personal Motives and Interpersonal Effects,2011,5,3
"Personality Theory, Decision Theory and Economics",2012,10,5
Personalizing Health Care: Using Economics to Target Treatments,2019,6,3
Perspectives on China's growth,2011,7,4
Perspectives on Consumption,2014,9,4
Perspectives on Inequality and Mobility in the U.S.,2013,11,4
"Perspectives on Inequality and Mobility of Income and Wealth (D3, H2)",2015,10,4
"Perspectives on Unconventional Monetary Policy and Expectations in Financial Markets (E4, D8)",2016,10,4
Pharmaceutical Economics and Policy,2018,10,3
Philanthropy,2012,7,5
"Physician Market Structure and Its Effects on Prices, Quality, and Medical Technology Diffusion",2014,8,3
